id,username,created_at,tweet,retweets_count,likes_count
1665146329318969344,g4m4r333,2023-06-03 23:59:56+00:00,RT @Jodiana80: Logo IKN mirip Lambang Dajjal https://t.co/BftbM2TtWp,160,0
1665145673753165824,MMasukin,2023-06-03 23:57:20+00:00,RT @asumsico: Sebanyak 130 delegasi singapura melakukan kunjungan ke kawasan Ibu Kota Negara (IKN) Nusantara. https://t.co/N3OXpVVYaT,33,0
1665144728818716675,BeelGedhez,2023-06-03 23:53:34+00:00,"RT @MediaKomando: Profil Aulia Akbar, Sosok yang Mendesain Logo IKN Pohon Hayat
https://t.co/q1lSJ9r3nS",14,0
1665143906550308865,asginanjar70,2023-06-03 23:50:18+00:00,@vanc1Bozz Artinya IKN jalan terus gass,0,0
1665143429439864833,DeSta1506,2023-06-03 23:48:25+00:00,"RT @OposisiCerdas: Dikuliti Habis, Pohon Hayat yang Dipakai Jokowi Jadi Logo Ibu Kota Negara Dikaitkan dengan Alkitab, IKN Diubah Jadi Inji…",261,0
1665143138850045953,BeelGedhez,2023-06-03 23:47:15+00:00,"RT @MediaKomando: Pohon Hayat Jadi Logo IKN, Netizen Singgung Pohon Hayat Ada di Alkitab
https://t.co/5057LV4J4t",12,0
1665141060102950913,tribunkaltim,2023-06-03 23:39:00+00:00,"Rayu Investor agar Investasi di IKN Nusantara, Otorita: Bonus Pasar di Balikpapan dan Samarinda

#IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi

https://t.co/4SOGAH1mtf lewat @tribunkaltim",0,0
1665140537697894401,muhizbro,2023-06-03 23:36:55+00:00,"@KompasTV Jalan2 ke IKN, ternyata cuma mau beli pasir....",0,0
1665140487097909248,rafherrren,2023-06-03 23:36:43+00:00,RT @asumsico: Sebanyak 130 delegasi singapura melakukan kunjungan ke kawasan Ibu Kota Negara (IKN) Nusantara. https://t.co/N3OXpVVYaT,33,0
1665140465597808642,LuciaRatihz,2023-06-03 23:36:38+00:00,"RT @MediaKomando: IKN Nusantara Tak Laku-laku, Masalah Besar Presiden 2024
https://t.co/5pua1lwg7R",18,0
1665139876314972162,DS_yantie,2023-06-03 23:34:17+00:00,RT @AntoniusCDN: Dengan bersatunya kekuatan Partai dan kekuatan Relawan akan menjadi kunci utk memenangkan @ganjarpranowo sbg Presiden di t…,30,0
1665139340459282432,surotobravo,2023-06-03 23:32:10+00:00,RT @Uyuung5: @surotobravo Udah pernah jalan² ke IKN blum mas??,1,0
1665139017275387904,NurulHudaNurdin,2023-06-03 23:30:53+00:00,"RT @jokowi: Selamat pagi. Inilah logo Ibu Kota Nusantara yang diluncurkan kemarin. Logo yang akan menjadi identitas visual bagi IKN.

Teman…",2777,0
1665138659786637312,biyantoronur,2023-06-03 23:29:27+00:00,RT @KemenPU: IKN Nusantara akan menjadi Superhub Ekonomi yang dapat mendorong laju pertumbuhan ekonomi Indonesi. Visi tersebut akan diwujud…,20,0
1665138522422951938,PolsekKuken,2023-06-03 23:28:55+00:00,"Yuk, Berkenalan Dengan Logo Resmi IKN Nusantara

- Terinspirasi dari bentuk penghayatan simbolisme pohon dari barat sampai timur Indonesia 
- Bermakna sumber kehidupan sekaligus kekayaan hayati yang melimpah di ekologi kita
• 5 akar melambangkan Pancasila https://t.co/MVkTxyQs4z",0,0
1665137417995657216,hai_ris,2023-06-03 23:24:31+00:00,@republikaonline Tersedot untuk bayar utang negara.. gitu masih ngotot bikin IKN,0,0
1665137018874232833,Pr1nC3j03,2023-06-03 23:22:56+00:00,"IKN bagian dari ILLUMINATI   ... 

https://t.co/HBPB6apBhG",0,0
1665135551132078080,Kahfsyafius,2023-06-03 23:17:06+00:00,@ekokuntadhi1 Emang ada duitnya buat bangun IKN?,0,0
1665135297150218240,_bangagoengDuA,2023-06-03 23:16:06+00:00,@_4iii_Na_T3H5h Dan @NasDem ngotot akan melanjutkan pembangunan ikn https://t.co/xCf2Cox457,0,1
1665134948393574400,dragonfly0987,2023-06-03 23:14:43+00:00,RT @KompasTV: 144 Calon Investor IKN dari Singapura Mendatangi Lokasi Pembangunan IKN https://t.co/iVXcsx8ujC,13,0
1665134680373604352,Mc_Gobed,2023-06-03 23:13:39+00:00,"@tvOneNews Emang IKN mau jadi gituh...??
🤪",0,0
1665134404883320833,adnanrizkii_,2023-06-03 23:12:33+00:00,"RT @OposisiCerdas: Dikuliti Habis, Pohon Hayat yang Dipakai Jokowi Jadi Logo Ibu Kota Negara Dikaitkan dengan Alkitab, IKN Diubah Jadi Inji…",261,0
1665133784130527232,IDNTimes,2023-06-03 23:10:05+00:00,RT @IDNTimesKaltim: KPU PPU Persiapkan TPS Khusus untuk Pekerja di IKN https://t.co/LLVTP4EqLD,1,0
1665133781252988937,Julian303,2023-06-03 23:10:04+00:00,"RT @musniumar: Mengerikan sekali besarnya utang Indonesia yang tembus Rp20750 triliun. Kata Pak JK berutang itu mudah, yang susah membayarn…",288,0
1665133646720937984,IDNTimesKaltim,2023-06-03 23:09:32+00:00,KPU PPU Persiapkan TPS Khusus untuk Pekerja di IKN https://t.co/LLVTP4EqLD,1,0
1665133207153709057,anakbetawipusat,2023-06-03 23:07:47+00:00,"RT @OposisiCerdas: Dikuliti Habis, Pohon Hayat yang Dipakai Jokowi Jadi Logo Ibu Kota Negara Dikaitkan dengan Alkitab, IKN Diubah Jadi Inji…",261,0
1665133059174199296,basit201,2023-06-03 23:07:12+00:00,"RT @tawajkt: Ada ga Muslim yg protes?

Pohon Hayat Jadi Logo IKN, Netizen Singgung Pohon Hayat Ada di Alkitab.

https://t.co/MXf7ZbRSjt",10,0
1665132532713545730,andre_herdian05,2023-06-03 23:05:07+00:00,"Masyarakat yang tinggal di Kalimantan Timur khususnya Balikpapan, memiliki tekad untuk upgrading scale bisnisnya supaya bisa bersaing dengan para pendatang. #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/ChjDN8AKg5",0,0
1665132530100580352,andre_herdian05,2023-06-03 23:05:06+00:00,Sektor UMKM mengalami pertumbuhan pesat sejak pemerintah memulai pembangunan infrastruktur IKN. #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/4TUmh4MTKZ,0,0
1665132526480785410,andre_herdian05,2023-06-03 23:05:05+00:00,"Masyarakat yang tinggal di Kalimantan Timur khususnya Balikpapan, memiliki tekad untuk upgrading scale bisnisnya supaya bisa bersaing dengan para pendatang. #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/ShDZY7IIKy",0,0
